,ID,LAND_NR,Partei_NR,Partei_ABK,Name,Titel,Vorname,Nachname,Jahrgang,Geschlecht,Kandidatur,LP,WKR_NR,BereitsMdB,MdB_2021,Einzug,Prozent,erneut,TW_acc,TW_user,TW_id,TW_verif,FB_acc,FB_user,FB_id,FB_typ,FB_verif
5810,5811,8,3,AfD,"Weidel, Alice Elisabeth",,Alice Elisabeth,Weidel,1979,1,3,1.0,293.0,1,1,2,'null',1,1,Alice_Weidel,833398209053605888,1,1,aliceweidel,1061322973878937,1,1
5838,5839,7,2,SPD,"Weingarten, Dr. Joe",Dr.,Joe,Weingarten,1962,2,3,14.0,201.0,1,1,1,33,1,1,DrJoeWeingarten,811960243353780226,2,1,drjoeweingarten,104078811150803,1,1
5851,5852,9,7,CSU,"Weisgerber, Dr. Anja",Dr.,Anja,Weisgerber,1976,1,3,8.0,250.0,1,1,1,"40,9",1,1,anjaweisgerber,133770069,1,1,anjaweisgerber,123317111021370,1,1
5852,5853,9,6,GRÜNE,"Weishaupt, Saskia Lea Raquel",,Saskia Lea Raquel,Weishaupt,1993,1,1,11.0,,0,1,2,'null',0,1,SaskiaLeaRaquel,574285449,1,1,saskialearaquelw,1725117366,3,2
5857,5858,8,1,CDU,"Weiss, Maria-Lena",,Maria-Lena,Weiss,1981,1,2,,285.0,0,1,1,"31,5",0,1,MariaLenaWeiss,2654324832,2,1,WeissMariaLena,111507193904173,1,1
5891,5892,3,6,GRÜNE,"Wenzel, Peer Stefan",,Peer Stefan,Wenzel,1962,2,3,10.0,29.0,0,1,2,'null',0,1,StefWenzel,61729247,1,1,StefanWenzelGruene,223539008173412,1,1
5901,5902,7,2,SPD,"Werner, Lena",,Lena,Werner,1994,1,3,10.0,202.0,0,1,2,'null',0,1,thereallenzii,38250199,2,1,lena.werner.wahlkreis202,110004534560226,1,1
5919,5920,5,4,FDP,"Westig, Nicole",,Nicole,Westig,1967,1,3,10.0,98.0,1,1,2,'null',1,1,NicoleWestig,989145249682526213,2,1,nicole.westig,100000872925578,3,2
5921,5922,3,2,SPD,"Westphal, Bernd Helmut",,Bernd Helmut,Westphal,1960,2,3,13.0,48.0,1,1,1,"38,6",1,1,BerndWestphal4,1071665423140249600,2,1,bestphal,125400970980780,1,1
5930,5931,5,3,AfD,"Weyel, Dr. Harald",Dr.,Harald,Weyel,1959,2,3,9.0,100.0,1,1,2,'null',1,1,h_weyel,841412635270762496,2,1,H.Weyel,118445328784907,1,1
5934,5935,8,1,CDU,"Whittaker, Kai Thorsten",,Kai Thorsten,Whittaker,1985,2,2,,273.0,1,1,1,"33,2",1,1,Kai_Whittaker,2479436480,1,1,kai.whittaker.cdu,135445149965726,1,1
5939,5940,8,1,CDU,"Widmann-Mauz, Annette",,Annette,Widmann-Mauz,1966,1,3,2.0,290.0,1,1,1,27,1,1,AWidmannMauz,3351905747,1,1,widmannmauz,314677355299127,1,1
5950,5951,9,3,AfD,"Wiehle, Wolfgang",,Wolfgang,Wiehle,1964,2,3,7.0,219.0,1,1,2,'null',1,1,WolfgangWiehle,1003656299589132291,2,1,W.Wiehle,1586388241380355,1,1
5954,5955,5,1,CDU,"Wiener, Dr. Klaus",Dr.,Klaus,Wiener,1962,2,3,51.0,104.0,0,1,1,30,0,1,KlausWiener,862247639584317441,2,1,KlauswienerCDU,102314525375756,1,2
5956,5957,5,2,SPD,"Wiese, Dirk",,Dirk,Wiese,1983,2,3,5.0,147.0,1,1,2,'null',1,1,DirkWieseSPD,815469233090023424,2,1,dirkwiesespd,369365856491724,1,1
5994,5995,5,1,CDU,"Winkelmeier-Becker, Elisabeth",,Elisabeth,Winkelmeier-Becker,1962,1,3,5.0,97.0,1,1,1,"32,6",1,1,ElisabethWinke4,1386075729780162569,2,1,Elisabeth.WinkelmeierBecker,121895396276,1,1
5999,6000,9,7,CSU,"Winkler, Tobias",,Tobias,Winkler,1978,2,3,35.0,243.0,0,1,1,"33,5",0,1,TW_EP,2811445750,2,1,TobiasWinklerBTW21,100471655645989,1,2
6000,6001,9,6,GRÜNE,"Winklmann, Tina",,Tina,Winklmann,1980,1,3,17.0,234.0,0,1,2,'null',0,1,TinaWinklmann,1409889740665540620,1,1,Tina.Winklmann.Gruene,100012631185298,3,2
6011,6012,10,3,AfD,"Wirth, Dr. Christian Friedrich",Dr.,Christian Friedrich,Wirth,1963,2,3,1.0,299.0,1,1,2,'null',1,1,ChrWirthMdB,920193967937019904,2,1,christian.wirth.509511,365566760558158,1,2
6018,6019,7,4,FDP,"Wissing, Dr. Volker",Dr.,Volker,Wissing,1970,2,3,1.0,211.0,0,1,2,'null',0,1,Wissing,20593301,1,1,Wissing.FDP,1566424690272923,1,1
6019,6020,6,5,DIE LINKE,"Wißler, Janine Natalie",,Janine Natalie,Wißler,1981,1,3,1.0,182.0,0,1,2,'null',0,1,Janine_Wissler,143484553,1,1,JanineWissler,403554119734838,1,1
6025,6026,1,3,AfD,"Witt, Uwe",,Uwe,Witt,1959,2,3,1.0,9.0,1,1,2,'null',1,1,Witt_Uwe,4503658823,2,1,WittUw,478590368968433,1,1
6096,6097,3,1,CDU,"Wulf, Mareike Lotte",,Mareike Lotte,Wulf,1979,1,3,9.0,46.0,0,1,2,'null',0,1,MareikeWulf,1037791106518409216,2,1,MareikeLotteWulf,239730576465595,1,1
6103,6104,3,3,AfD,"Wundrak, Franz Josef Joachim",,Franz Josef Joachim,Wundrak,1955,2,3,1.0,26.0,0,1,2,'null',0,1,JoachimWundrak,1389980178038808581,2,1,Joachim-Wundrak-101503271893759,101503271893759,1,1
6159,6160,15,3,AfD,"Ziegler, Kay-Uwe",,Kay-Uwe,Ziegler,1963,2,2,,71.0,0,1,1,"24,2",0,1,KayUweZiegler71,846770487480995841,2,1,ZieglerWaehlen,1829143163972472,1,1
6165,6166,5,1,CDU,"Ziemiak, Paul",,Paul,Ziemiak,1985,2,3,6.0,150.0,1,1,1,"33,6",1,1,PaulZiemiak,288696645,1,1,paulziemiak,100044268707373,1,1
6167,6168,12,2,SPD,"Zierke, Stefan",,Stefan,Zierke,1970,2,3,3.0,57.0,1,1,1,"29,6",1,1,zierke,64220313,1,1,ZierkeSPD,234636206679771,1,1
6174,6175,6,2,SPD,"Zimmermann, Dr. Jens",Dr.,Jens,Zimmermann,1981,2,3,7.0,187.0,1,1,1,"32,3",1,1,JensZSPD,449619355,1,1,JensZSPD,315208841871484,1,1
6188,6189,8,1,CDU,"Zippelius, Nicolas Benjamin",,Nicolas Benjamin,Zippelius,1987,2,2,,272.0,0,1,1,"30,4",0,1,NZippelius,1560104953,2,1,NZippelius,102135698530662,1,1
6197,6198,6,2,SPD,"Zorn, Armand",,Armand,Zorn,1988,2,3,23.0,182.0,0,1,1,29,0,1,ArmandZorn,1313187376378908675,1,1,Armand-Zorn-SPD-102203798533728,102203798533728,1,1
