,ID,LAND_NR,Partei_NR,Partei_ABK,Name,Titel,Vorname,Nachname,Jahrgang,Geschlecht,Kandidatur,LP,WKR_NR,BereitsMdB,MdB_2021,Einzug,Prozent,erneut,TW_acc,TW_user,TW_id,TW_verif,FB_acc,FB_user,FB_id,FB_typ,FB_verif
2765,2766,8,6,GRÜNE,"Kopf, Chantal Johanna Siglinde",,Chantal Johanna Siglinde,Kopf,1995,1,3,14.0,281.0,0,1,1,"28,8",0,1,chantal_kopf,820001178943627266,1,1,ChantalKopfFreiburg,104440024870878,1,1
2776,2777,14,1,CDU,"Körber, Carsten",,Carsten,Körber,1979,2,3,5.0,165.0,1,1,2,'null',1,1,CarstenKoerber,1362372381814231041,1,1,koerber.carsten,464337703775204,1,1
2790,2791,15,5,DIE LINKE,"Korte, Jan",,Jan,Korte,1977,2,3,1.0,71.0,1,1,2,'null',1,1,jankortemdb,4164673821,1,1,jankortemdb,203933859649610,1,1
2795,2796,12,2,SPD,"Koß, Simona",,Simona,Koß,1961,1,3,8.0,59.0,0,1,1,"24,7",0,1,KossSimona,1359549652199170050,2,1,simonamkoss,100007276352300,3,2
2810,2811,12,3,AfD,"Kotré, Steffen",,Steffen,Kotré,1971,2,3,3.0,62.0,1,1,2,'null',1,1,SteffenKotre,912223443231428609,1,1,St.Kotre,1310772865717843,1,1
2823,2824,9,3,AfD,"Kraft, Dr. Rainer Detlef",Dr.,Rainer Detlef,Kraft,1974,2,3,8.0,253.0,1,1,2,'null',1,1,Dr_Rainer_Kraft,804064797977444352,2,1,dr.rainer.kraft,115152229053025,1,1
2825,2826,5,6,GRÜNE,"Kraft, Laura Manuela",,Laura Manuela,Kraft,1990,1,3,23.0,148.0,0,1,2,'null',0,1,laura_kraft_,1410671503679574016,1,1,Laura.Kraft.Gruene,113030887118871,1,2
2841,2842,6,6,GRÜNE,"Krämer, Philip",,Philip,Krämer,1992,2,3,6.0,187.0,0,1,2,'null',0,1,PhiKraemer,746767453951234048,1,1,kraemer.philip,213543232717173,1,1
2844,2845,9,2,SPD,"Kramme, Anette",,Anette,Kramme,1967,1,3,4.0,237.0,1,1,2,'null',1,1,AnetteKramme,1461705757,2,1,anette.kramme.bayreuth,886463838049032,1,1
2868,2869,3,2,SPD,"Kreiser, Dunja Eleonore Angelika",,Dunja Eleonore Angelika,Kreiser,1971,1,3,12.0,49.0,0,1,1,"38,6",0,1,d_kreiser,3392540248,0,1,dunja.kreiser,100003590470028,3,2
2880,2881,8,1,CDU,"Krichbaum, Gunther",,Gunther,Krichbaum,1964,2,2,,279.0,1,1,1,"28,5",1,1,GuntherKrichba3,1161098384020824069,2,1,krichbaum.bundestag,100057827450340,1,1
2888,2889,5,1,CDU,"Krings, Dr. Günter",Dr.,Günter,Krings,1969,2,3,7.0,109.0,1,1,1,"35,6",1,1,guenterkrings,392312829,1,1,gunter.krings.cdu,400578453368061,1,1
2890,2891,5,6,GRÜNE,"Krischer, Oliver",,Oliver,Krischer,1969,2,3,2.0,87.0,1,1,1,"30,2",1,1,Oliver_Krischer,88630242,1,1,okrischer,341816569252157,1,1
2892,2893,15,2,SPD,"Kröber, Martin",,Martin,Kröber,1992,2,3,3.0,69.0,0,1,1,"25,3",0,1,MartinKroeber,137036352,2,1,MartinKroeberMD,117934986793217,1,1
2927,2928,2,4,FDP,"Kruse, Michael",,Michael,Kruse,1983,2,1,1.0,,0,1,2,'null',0,1,krusehamburg,2823984824,1,1,michaelkrusefdphamburg,370127063176268,1,1
2933,2934,3,1,CDU,"Kuban, Tilman Moritz",,Tilman Moritz,Kuban,1987,2,3,7.0,47.0,0,1,2,'null',0,1,TKuban96,970038451,1,1,kuban.tilman,1661082517523622,1,1
2947,2948,3,4,FDP,"Kuhle, Konstantin Elias",,Konstantin Elias,Kuhle,1989,2,3,4.0,53.0,1,1,2,'null',1,1,KonstantinKuhle,475275997,1,1,kuhle.konstantin,621835661198523,1,1
2950,2951,8,6,GRÜNE,"Kühn, Christian",,Christian,Kühn,1979,2,3,4.0,290.0,1,1,2,'null',1,1,ChrisKuehn_mdb,1143130812,1,1,christian.kuehn.tuebingen,1055591575,1,2
2964,2965,11,2,SPD,"Kühnert, Kevin",,Kevin,Kühnert,1989,2,3,3.0,81.0,0,1,1,"27,1",0,1,KuehniKev,2764750474,1,1,KuehnertKevin,947558118729088,1,1
2972,2973,11,6,GRÜNE,"Künast, Renate Elly",,Renate Elly,Künast,1955,1,3,3.0,81.0,1,1,2,'null',1,1,RenateKuenast,1425265488,1,1,renate.kuenast,90022819050,1,1
2991,2992,5,6,GRÜNE,"Kurth, Markus",,Markus,Kurth,1966,2,3,22.0,142.0,1,1,2,'null',1,1,markuskurthmdb,150188536,1,1,mdb.markuskurth,100160987153482,1,1
3014,3015,5,2,SPD,"Lahrkamp, Sarah",,Sarah,Lahrkamp,1981,1,3,24.0,124.0,0,1,2,'null',0,1,SLahrkamp,1238059203526307842,2,1,sarahlahrkamp,100177145458129,1,1
3027,3028,8,6,GRÜNE,"Lang, Ricarda",,Ricarda,Lang,1994,1,3,10.0,269.0,0,1,2,'null',1,1,Ricarda_Lang,1405886484,1,1,RicardaLang1994,1271823943,2,1
3036,3037,9,7,CSU,"Lange, Ulrich",,Ulrich,Lange,1969,2,2,,254.0,1,1,1,"41,1",1,1,UlrichLange,68172699,2,1,mdb.ulrich.lange,108711250576241,1,1
3065,3066,5,1,CDU,"Laschet, Armin",,Armin,Laschet,1961,2,1,1.0,,0,1,2,'null',0,1,ArminLaschet,835541664,1,1,ArminLaschet,109478215738226,1,1
3075,3076,9,7,CSU,"Launert, Dr. Silke",Dr.,Silke,Launert,1976,1,3,16.0,237.0,1,1,1,"42,4",1,1,DrLaunert,4926993244,2,1,launert.silke,401006200007303,1,1
3076,3077,5,2,SPD,"Lauterbach, Dr. Karl Wilhelm",Dr.,Karl Wilhelm,Lauterbach,1963,2,3,23.0,101.0,1,1,1,"45,6",1,1,Karl_Lauterbach,3292982985,1,1,Karl.Lauterbach.spd,638247852865845,1,1
3082,3083,14,5,DIE LINKE,"Lay, Caren Nicole",,Caren Nicole,Lay,1972,1,3,3.0,156.0,1,1,2,'null',1,1,CarenLay,21404382,1,1,caren.lay,668729169812570,1,1
3086,3087,9,4,FDP,"Lechte, Ulrich",,Ulrich,Lechte,1977,2,3,8.0,233.0,1,1,2,'null',1,1,ulrichlechte,988765113606918144,1,1,lechte18,259242574566478,1,1
3098,3099,5,6,GRÜNE,"Lehmann, Sven",,Sven,Lehmann,1979,2,3,4.0,94.0,1,1,1,"34,6",1,1,svenlehmann,16706236,1,1,sven.lehmann.9250,1328779280,2,1
3099,3100,12,2,SPD,"Lehmann, Sylvia",,Sylvia,Lehmann,1954,1,3,4.0,62.0,1,1,1,"26,5",1,1,LehmannSpd,2320712427,2,1,Sylvia-Lehmann-1867495213504775,1867495213504775,1,1
3112,3113,6,1,CDU,"Leikert, Dr. Katja Isabel",Dr.,Katja Isabel,Leikert,1975,1,3,5.0,180.0,1,1,2,'null',1,1,KLeikert,467381196,1,1,leikertkatja,423800571019823,1,1
3117,3118,8,2,SPD,"Leiser, Kevin",,Kevin,Leiser,1993,2,3,20.0,268.0,0,1,2,'null',0,1,KLHohenlohe,1365771819861557251,1,1,KevinLeiserHohenlohe,101782688361096,1,1
3126,3127,15,6,GRÜNE,"Lemke, Steffi",,Steffi,Lemke,1968,1,3,1.0,70.0,1,1,2,'null',1,1,SteffiLemke,17229513,1,1,steffi.lemke.gruen,675262355856034,1,1
3136,3137,9,7,CSU,"Lenz, Dr. Andreas",Dr.,Andreas,Lenz,1981,2,2,,213.0,1,1,1,"42,3",1,1,DerLenzMdB,3635730797,1,1,andreas.lenz.bundestag,163923497121139,1,1
3157,3158,5,5,DIE LINKE,"Leye, Christian",,Christian,Leye,1981,2,3,6.0,116.0,0,1,2,'null',0,1,christian_leye,826683982519611393,2,1,Leye.Christian,983545195099994,1,1
3164,3165,5,2,SPD,"Licina-Bode, Luiza",,Luiza,Licina-Bode,1972,1,3,32.0,148.0,0,1,2,'null',0,1,BodeLuiza,1398240466395611142,2,1,luiza.licinabode,100006048755957,3,2
3167,3168,6,4,FDP,"Lieb, Dr. Thorsten Willibald",Dr.,Thorsten Willibald,Lieb,1973,2,3,2.0,183.0,0,1,2,'null',0,1,ThorstenLieb,2411398358,2,1,thliebEU,749396432090053,1,1
3183,3184,10,2,SPD,"Limbacher, Esra-Leon Ruben",,Esra-Leon Ruben,Limbacher,1989,2,3,5.0,299.0,0,1,1,"36,6",0,1,EsraLimbacher,19139341,1,1,esralimbacher,348979855478911,1,1
3185,3186,3,6,GRÜNE,"Limburg, Helge Stefan",,Helge Stefan,Limburg,1982,2,3,8.0,46.0,0,1,2,'null',0,1,Helge_Limburg,63687144,2,1,helge.limburg,100000147587346,3,2
3192,3193,11,4,FDP,"Lindemann, Lars",,Lars,Lindemann,1971,2,3,3.0,81.0,0,1,2,'null',0,1,LFLindemann,96146500,1,1,238786850947,238786850947,3,2
3195,3196,5,2,SPD,"Lindh, Helge Frederik",,Helge Frederik,Lindh,1976,2,3,27.0,102.0,1,1,1,"37,3",1,1,helgelindh,454981027,1,1,helgelindh,339094399790397,1,1
3196,3197,9,7,CSU,"Lindholz, Andrea",,Andrea,Lindholz,1970,1,3,6.0,247.0,1,1,1,"40,7",1,1,AndreaLindholz,1446031532,1,1,andrea.lindholz,409561472408666,1,1
3198,3199,5,4,FDP,"Lindner, Christian Wolfgang",,Christian Wolfgang,Lindner,1979,2,3,1.0,100.0,1,1,2,'null',1,1,c_lindner,122104353,1,1,lindner.christian,143504445664134,1,1
3199,3200,7,6,GRÜNE,"Lindner, Dr. Tobias",Dr.,Tobias,Lindner,1982,2,3,2.0,211.0,1,1,2,'null',1,1,tobiaslindner,21197524,1,1,lindnermdb,278875132141051,1,1
3210,3211,8,4,FDP,"Link, Michael Georg",,Michael Georg,Link,1963,2,3,3.0,267.0,1,1,2,'null',1,1,michael_g_link,3034092143,1,0,'null','null',0,0
3249,3250,1,6,GRÜNE,"Loop, Denise",,Denise,Loop,1994,1,3,5.0,2.0,0,1,2,'null',0,1,denise_loop,797403769378131968,1,1,denise.loop,100000493564714,1,2
3275,3276,11,5,DIE LINKE,"Lötzsch, Dr. Gesine",Dr.,Gesine,Lötzsch,1961,1,3,3.0,86.0,1,1,1,"25,8",1,1,LoetzschMdB,24178198,1,1,gesine.loetzsch,77067914982,1,1
3285,3286,5,3,AfD,"Lucassen, Hans-Rüdiger",,Hans-Rüdiger,Lucassen,1951,2,3,1.0,92.0,1,1,2,'null',1,1,MdB_Lucassen,4875914470,2,1,ruedigerlucassenmdb,1237818033002038,1,1
3289,3290,5,6,GRÜNE,"Lucks, Max",,Max,Lucks,1997,2,3,14.0,140.0,0,1,2,'null',0,1,max_lucks,481428317,1,1,max.lucks,100001439432611,3,2
3290,3291,11,1,CDU,"Luczak, Dr. Jan-Marco",Dr.,Jan-Marco,Luczak,1975,2,3,2.0,81.0,1,1,2,'null',1,1,JM_Luczak,22908417,1,1,JanMarcoLuczakMdB,942949079130982,1,1
3297,3298,9,7,CSU,"Ludwig, Daniela",,Daniela,Ludwig,1975,1,3,4.0,222.0,1,1,1,"36,1",1,1,DaniLudwigMdB,1019846605044936705,1,1,daniela.ludwig.bundestag,351364005000140,1,1
3303,3304,5,2,SPD,"Lugk, Bettina",,Bettina,Lugk,1982,1,3,14.0,150.0,0,1,2,'null',0,1,BettinaLugk,1193991990196785157,1,1,lugkbettina,2273230596106991,1,1
3305,3306,6,6,GRÜNE,"Lührmann, Anna Kristina",,Anna Kristina,Lührmann,1983,1,3,5.0,178.0,0,1,2,'null',0,1,AnnaLuehrmann,1179715307440619522,1,1,ALuehrmann,100532052212970,1,1
3306,3307,10,4,FDP,"Luksic, Oliver",,Oliver,Luksic,1979,2,3,1.0,298.0,1,1,2,'null',1,1,OlliLuksic,21144568,1,1,OlliLuksic,52888328642,1,1
3314,3315,9,4,FDP,"Lütke, Kristine",,Kristine,Lütke,1982,1,3,12.0,246.0,0,1,2,'null',0,1,kristine_lutke,875431735256920065,1,1,KristineLutkeFDP,115669579800284,1,2
3320,3321,10,5,DIE LINKE,"Lutze, Thomas",,Thomas,Lutze,1969,2,1,1.0,,1,1,2,'null',1,1,thlutze,3667108397,2,1,thlutze,788750901189654,1,1
3325,3326,10,2,SPD,"Maas, Heiko Josef",,Heiko Josef,Maas,1966,2,3,1.0,297.0,1,1,1,"36,7",1,1,HeikoMaas,24158261,1,1,heiko.maas.98,1431909580371764,1,1
3331,3332,7,2,SPD,"Machalet, Dr. Tanja",Dr.,Tanja,Machalet,1974,1,3,2.0,204.0,0,1,1,"31,5",0,1,TMachalet,23340320,2,1,tanja.machalet.spd,131765320380,1,1
3339,3340,7,2,SPD,"Mackensen-Geis, Isabel Larissa",,Isabel Larissa,Mackensen-Geis,1986,1,3,4.0,208.0,1,1,2,'null',1,1,IsabelMackensen,2322165327,2,1,IMackensen,219589951790034,1,1
3345,3346,14,1,CDU,"Magwas, Yvonne",,Yvonne,Magwas,1979,1,3,4.0,166.0,1,1,1,"27,7",1,1,YvonneMagwas,3852561082,1,1,YvonneMagwasVogtland,185551978642060,1,1
3382,3383,14,2,SPD,"Mann, Holger",,Holger,Mann,1979,2,3,1.0,152.0,0,1,2,'null',0,1,HolgerMannLE,615488350,2,1,Mann.Holger.SPD,838580572852292,1,1
3390,3391,6,4,FDP,"Mansmann, Till Berthold",,Till Berthold,Mansmann,1968,2,3,3.0,188.0,1,1,2,'null',1,1,TillMansmann,954049866283483136,1,1,tillmansmannfdp,647898078564416,1,1
3391,3392,6,2,SPD,"Mansoori, Kaweh",,Kaweh,Mansoori,1988,2,3,3.0,183.0,0,1,2,'null',0,1,El_KaWeh_,2149926365,2,1,kaweh.mansoori,100001365387476,3,2
3415,3416,5,2,SPD,"Martens, Zanda",,Zanda,Martens,1984,1,3,28.0,106.0,0,1,2,'null',0,1,ZandaMartens,1383821163151851532,1,1,Zanda.Martens,103784008040021,1,1
3417,3418,2,2,SPD,"Martin, Dorothee Katja Julia",,Dorothee Katja Julia,Martin,1978,1,3,3.0,21.0,1,1,1,"30,7",1,1,Doro_Martin,241008237,1,1,dorothee.spd,169373009772164,1,1
3427,3428,8,2,SPD,"Marvi, Parsa",,Parsa,Marvi,1982,2,3,12.0,271.0,0,1,2,'null',0,1,ParsaMarvi,973597518,1,1,Parsa.Marvi.SPD,87909931261312,1,1
3433,3434,14,2,SPD,"Mascheck, Franziska",,Franziska,Mascheck,1979,1,3,8.0,154.0,0,1,2,'null',0,1,f_mascheck,744152788746248192,2,1,franziskamascheck,2240553316270678,1,1
3437,3438,8,2,SPD,"Mast, Katja Wilma",,Katja Wilma,Mast,1971,1,3,5.0,279.0,1,1,2,'null',1,1,KatjaMast,937678874095300609,1,1,katja.mast.politik,499836743410538,1,1
3445,3446,3,1,CDU,"Mattfeldt, Andreas",,Andreas,Mattfeldt,1969,2,3,21.0,34.0,1,1,1,"33,7",1,1,AMattfeldt,23447001,2,1,AndreasMattfeldtMdB,143788619738059,1,1
3467,3468,8,6,GRÜNE,"Mayer, Zoe",,Zoe,Mayer,1995,1,3,12.0,271.0,0,1,1,30,0,1,zoe_gruene,1248662696318418950,2,1,zoe.gruene,108723377639095,2,1
3468,3469,8,1,CDU,"Mayer-Lay, Volker",,Volker,Mayer-Lay,1981,2,2,,293.0,0,1,1,"30,4",0,1,VMayer_Lay,1290361590429229056,2,1,VolkerMayerLayCDU,105133104608651,1,1
3483,3484,9,2,SPD,"Mehltretter, Andreas",,Andreas,Mehltretter,1991,2,3,15.0,214.0,0,1,2,'null',0,1,Mehli,15820788,1,1,andreasmehltretterSPD,1691444984516950,1,1
3484,3485,8,2,SPD,"Mehmet Ali, Takis",,Takis,Mehmet Ali,1991,2,3,22.0,282.0,0,1,2,'null',0,1,TakisMehmetAli1,1413536612068245507,2,1,Takis-Mehmet-Ali-100377718535195,100377718535195,1,1
3502,3503,11,5,DIE LINKE,"Meiser, Pascal",,Pascal,Meiser,1975,2,3,2.0,83.0,1,1,2,'null',1,1,pascalmeiser,314534724,1,1,pascalmeiser361,1181444335296054,1,1
3505,3506,6,1,CDU,"Meister, Dr. Michael Günther",Dr.,Michael Günther,Meister,1961,2,3,3.0,188.0,1,1,1,"30,5",1,1,meister_schafft,34214048,1,1,Dr.Michael.Meister,168727169874009,1,1
3522,3523,3,4,FDP,"Merten, Anikó",,Anikó,Merten,1982,1,3,8.0,50.0,0,1,2,'null',0,1,AnikoMerten,2490321900,2,1,aniko.merten,100000630283595,3,2
3524,3525,5,1,CDU,"Merz, Joachim-Friedrich Martin Josef",,Joachim-Friedrich Martin Josef,Merz,1955,2,2,,147.0,0,1,1,"40,4",0,1,_FriedrichMerz,1059395748289232896,1,1,MerzCDU,351110122328707,1,1
3525,3526,8,2,SPD,"Mesarosch, Robin",,Robin,Mesarosch,1991,2,3,16.0,295.0,0,1,2,'null',0,1,mesarosch,208413193,1,1,RobinMesaroschSPD,360048660677408,1,1
3532,3533,7,1,CDU,"Metzler, Jan",,Jan,Metzler,1981,2,3,6.0,206.0,1,1,1,"32,2",1,1,JanMetzler,995653004,1,1,unserJanMetzler,382418695453810,1,1
3541,3542,11,4,FDP,"Meyer, Christoph Werner",,Christoph Werner,Meyer,1975,2,3,1.0,80.0,1,1,2,'null',1,1,Meyer_FDP,861992050358616064,1,1,christoph.meyer.berlin,162825633790607,1,1
3564,3565,9,3,AfD,"Miazga, Corinna",,Corinna,Miazga,1983,1,3,2.0,231.0,1,1,2,'null',1,1,CorinnaMiazga,868762469115846657,2,1,CorinnaMiazgaMdB,1720472504912063,1,2
3567,3568,3,6,GRÜNE,"Michaelsen, Swantje Henrike",,Swantje Henrike,Michaelsen,1979,1,3,11.0,41.0,0,1,2,'null',0,1,SwantjeMichael1,1086178318230188033,1,1,swantje.michaelsen,100000024713852,3,2
3572,3573,14,2,SPD,"Michel, Susanne Kathrin",,Susanne Kathrin,Michel,1963,1,3,2.0,156.0,0,1,2,'null',0,1,Kthrn_Mchl_SPD,1166055765402144771,1,1,KathrinMichelSPD,100486298920315,1,2
3581,3582,5,6,GRÜNE,"Mihalic, Dr. Irene",Dr.,Irene,Mihalic,1976,1,3,3.0,123.0,1,1,2,'null',1,1,IreneMihalic,143000381,1,1,Irene Mihalic,196359297238038,1,1
3582,3583,6,6,GRÜNE,"Mijatović, Boris",,Boris,Mijatović,1974,2,3,8.0,168.0,0,1,2,'null',0,1,borismijatovic,718050209163509760,1,1,BorisfuerBerlin,667357703437091,1,2
3606,3607,3,5,DIE LINKE,"Mohamed Ali, Amira",,Amira,Mohamed Ali,1980,1,3,1.0,27.0,1,1,2,'null',1,1,Amira_M_Ali,934029228886065152,1,1,amira.dielinke,1533185586760485,1,1
3610,3611,1,5,DIE LINKE,"Möhring, Cornelia",,Cornelia,Möhring,1960,1,3,1.0,7.0,1,1,2,'null',1,1,Conni_Moehring,2596171296,1,1,CorneliaMoehring,229017740475871,1,1
3612,3613,3,2,SPD,"Mohrs, Falko",,Falko,Mohrs,1984,2,3,19.0,51.0,1,1,1,"42,1",1,1,FalkoMohrs,79228932,1,1,FMohrs,1471721149560126,1,1
3619,3620,5,2,SPD,"Moll, Claudia",,Claudia,Moll,1968,1,3,8.0,88.0,1,1,1,"34,5",1,1,ClaudiaMollMdB,1070312229139025920,1,1,ClaudiaMollSPD,872845746151301,3,2
3628,3629,3,2,SPD,"Möller, Siemtje Victoria Regine Ilse Santjer",,Siemtje Victoria Regine Ilse Santjer,Möller,1983,1,3,6.0,26.0,1,1,1,"45,4",1,1,SiemtjeMdB,1115940238801743872,1,1,siemtjemoeller,1831908787045024,1,1
3633,3634,14,3,AfD,"Moncsek, Mike",,Mike,Moncsek,1964,2,3,14.0,163.0,0,1,1,"28,9",0,1,Mike_Moncsek,1104304242754494465,2,1,mikemoncsek.de,724868617881766,1,1
3636,3637,13,1,CDU,"Monstadt, Dietrich",,Dietrich,Monstadt,1957,2,3,2.0,12.0,1,1,2,'null',1,1,MdBMonstadt,1180102389275205632,2,1,dietrichmonstadt,1019710724716909,1,1
3639,3640,14,3,AfD,"Moosdorf, Matthias",,Matthias,Moosdorf,1965,2,2,,165.0,0,1,1,"25,6",0,1,MMoosdorf,50578509,2,1,matth.moosdorf,105237008197753,1,2
3641,3642,1,4,FDP,"Mordhorst, Maximilian",,Maximilian,Mordhorst,1996,2,3,4.0,5.0,0,1,2,'null',0,1,maxmordhorst,2174533082,1,1,maximilian.mordhorst,100001696894638,3,2
3651,3652,8,1,CDU,"Mörseburg, Maximilian Rick",,Maximilian Rick,Mörseburg,1992,2,2,,259.0,0,1,1,"25,9",0,1,maxmoerseburg,270435074,2,1,maxmoerseburg,2364772793592996,1,1
3677,3678,6,4,FDP,"Müller, Alexander",,Alexander,Müller,1969,2,3,4.0,178.0,1,1,2,'null',1,1,alexmuellerfdp,936235058792484864,1,1,alexmuellerfdp,228197331016786,1,1
3686,3687,6,2,SPD,"Müller, Bettina",,Bettina,Müller,1959,1,3,4.0,175.0,1,1,1,"30,5",1,1,BetMueller,2443895924,1,1,BettinaMuellerSPD,306664909442738,1,1
3687,3688,3,1,CDU,"Müller, Carsten",,Carsten,Müller,1970,2,3,8.0,50.0,1,1,2,'null',1,1,MdbMuller,1322811129635213313,2,1,carsten.muller.125,100005495169208,3,2
3688,3689,13,6,GRÜNE,"Müller, Claudia Heike",,Claudia Heike,Müller,1981,1,3,1.0,15.0,1,1,2,'null',1,1,GruenClaudia,937403112,1,1,gruenclaudia,100003555598083,2,1
3689,3690,14,2,SPD,"Müller, Detlef",,Detlef,Müller,1964,2,3,3.0,162.0,1,1,1,"25,1",1,1,MuellerChemnitz,784760007275515904,1,1,detlefmuellerchemnitz,395199440836135,3,2
3694,3695,5,1,CDU,"Müller, Florian Matthias",,Florian Matthias,Müller,1987,2,2,,149.0,0,1,1,"37,1",0,1,FlorianMM,45370052,2,1,FlorianMuellerCDU,114018304113787,1,1
3717,3718,9,6,GRÜNE,"Müller, Sascha",,Sascha,Müller,1970,2,3,6.0,245.0,0,1,2,'null',0,1,SaschaMuller,52793798,1,1,SaschaMuellerWK245,100648738917044,1,2
3718,3719,15,1,CDU,"Müller, Sepp",,Sepp,Müller,1989,2,3,5.0,70.0,1,1,1,"34,3",1,1,mueller_sepp,801803127762669568,1,1,SeppMuellerMdB,152650658523697,1,1
3720,3721,9,7,CSU,"Müller, Stefan",,Stefan,Müller,1975,2,3,9.0,242.0,1,1,1,"35,2",1,1,smuellermdb,17960911,1,1,smuellermdb,1501825416754537,1,1
3727,3728,8,6,GRÜNE,"Müller-Gemmeke, Beate",,Beate,Müller-Gemmeke,1960,1,3,6.0,289.0,1,1,2,'null',1,1,GrueneBeate,53426644,1,1,gruenebeate,1432479903663310,1,1
3729,3730,14,4,FDP,"Müller-Rosentritt, Frank",,Frank,Müller-Rosentritt,1982,2,3,2.0,162.0,1,1,2,'null',1,1,theliberalfrank,984048002967982080,1,1,Stolzer.Chemnitzer,638812666304504,1,1
3738,3739,5,2,SPD,"Müntefering, Michelle-Jasmin Gabriele",,Michelle-Jasmin Gabriele,Müntefering,1980,1,3,36.0,141.0,1,1,1,"43,5",1,1,Mi_Muentefering,947740210036641793,1,1,michelle.muentefering,439265522793389,1,1
3742,3743,7,3,AfD,"Münzenmaier, Sebastian",,Sebastian,Münzenmaier,1989,2,3,1.0,205.0,1,1,2,'null',1,1,S_Muenzenmaier,863657874941255684,2,1,sebastian.muenzenmaier,1769949476598582,1,2
3757,3758,5,6,GRÜNE,"Nanni, Sara",,Sara,Nanni,1987,1,3,17.0,107.0,0,1,2,'null',0,1,SaraNanni,81596596,1,1,SaraNanni.Bundestag,101140118478789,1,1
3760,3761,14,2,SPD,"Nasr, Rasha",,Rasha,Nasr,1992,1,3,4.0,159.0,0,1,2,'null',0,1,rasha_nasr_,3697025955,1,1,RashaNasrSPD,112726154232114,1,2
3761,3762,2,5,DIE LINKE,"Nastić, Zaklin Jadwiga",,Zaklin Jadwiga,Nastić,1980,1,3,1.0,20.0,1,1,2,'null',1,1,ZaklinNastic,2527808433,1,1,zaklin.nastic,100006876271296,3,2
3766,3767,14,3,AfD,"Naujok, Edgar",,Edgar,Naujok,1960,2,3,16.0,154.0,0,1,1,"24,6",0,1,edgar_naujok,791991717717282817,2,1,naujok.afd,613418012814959,1,2
3786,3787,1,6,GRÜNE,"Nestle, Dr. Ingrid Johanna",Dr.,Ingrid Johanna,Nestle,1977,1,3,3.0,3.0,1,1,2,'null',1,1,Ingrid_Nestle,44359035,2,1,ingridnestleMdB,540050559669474,1,1
3819,3820,5,6,GRÜNE,"Nick, Dr. Ophelia Johanna",Dr.,Ophelia Johanna,Nick,1973,1,3,13.0,105.0,0,1,2,'null',0,1,OpheliaNick,2527051226,1,1,Ophelia.Nick,629950074295425,1,2
3820,3821,5,2,SPD,"Nickholz, Brian",,Brian,Nickholz,1989,2,3,50.0,122.0,0,1,1,"37,4",0,1,BrianNickholz,1970779310,1,1,NickholzBrian,1623531491263905,1,1
3852,3853,6,3,AfD,"Nolte, Jan Ralf",,Jan Ralf,Nolte,1988,2,3,4.0,167.0,1,1,2,'null',1,1,Jan_Nolte_AfD,3408940048,2,1,Jannolteafd,801630029947609,1,1
3860,3861,6,6,GRÜNE,"Nouripour, Omid",,Omid,Nouripour,1975,2,3,2.0,183.0,1,1,1,29,1,1,nouripour,16674128,1,1,nouripour1,335200473236919,1,1
3866,3867,9,2,SPD,"Nürnberger, Jörg Mathias",,Jörg Mathias,Nürnberger,1967,2,3,19.0,239.0,0,1,2,'null',0,1,JorgNurnberger,1354090527898148865,2,1,joerg.nuernberger.spd,219925261501036,1,1
3881,3882,6,2,SPD,"Oehl, Jan Lennard",,Jan Lennard,Oehl,1993,2,3,21.0,180.0,0,1,1,"31,1",0,1,leoehl,631226773,2,1,oehl.lennard,100892374750212,1,2
3884,3885,5,1,CDU,"Oellers, Wilfried",,Wilfried,Oellers,1975,2,3,47.0,89.0,1,1,1,"39,7",1,1,WilfriedOellers,906847944,1,1,WilfriedOellers.CDU,480535868644583,1,1
3907,3908,8,1,CDU,"Oppelt, Moritz Paul Georg",,Moritz Paul Georg,Oppelt,1989,2,2,,277.0,0,1,1,"28,5",0,1,moritz_oppelt,1042344502776791041,2,1,MoritzOppeltCDU,896172484061676,1,1
3912,3913,10,2,SPD,"Ortleb, Josephine Loulou",,Josephine Loulou,Ortleb,1986,1,3,2.0,296.0,1,1,1,"36,9",1,1,josephineortleb,21618829,1,1,josephine.ortleb,197149160794704,1,1
3919,3920,9,7,CSU,"Oßner, Florian",,Florian,Oßner,1980,2,2,,228.0,1,1,1,"36,4",1,1,Florian_Ossner,1294532364,1,1,ossnerflorian,108161994841585,1,1
3920,3921,7,1,CDU,"Oster, Josef",,Josef,Oster,1971,2,3,12.0,199.0,1,1,1,"31,7",1,1,josefoster,28089973,1,1,josef.oster.bundestag,1862755217333823,1,1
3926,3927,3,1,CDU,"Otte, Henning Rudolf Helmut",,Henning Rudolf Helmut,Otte,1968,2,3,13.0,44.0,1,1,1,"32,9",1,1,vtdgsprecher,1416388709264633858,2,1,henningottecducelleuelzen,263332637458329,1,1
3927,3928,3,6,GRÜNE,"Otte, Karoline",,Karoline,Otte,1996,1,3,9.0,52.0,0,1,2,'null',0,1,karo_otte,936673325950128128,1,1,karo.onaja,100002246094453,3,2
3929,3930,9,3,AfD,"Otten, Gerold Joachim",,Gerold Joachim,Otten,1955,2,3,9.0,221.0,1,1,2,'null',1,1,Gerold_Otten,774309860812918784,2,1,GeroldOttenAfD,293462724395793,1,1
